Grupo,Pose #,POSE_robot_rpy, q_robot [deg],Config,POSE_robot_4x4,POSE_calc (tb_FKine),q_calc [deg],q_recalc [deg]
Caso 21,5,[-154.30 -326.80  221.70  -97.10   14.53   94.72],[-90.17 -83.58 -18.63  56.25   9.58  60.20],"[1, -1, 1]","[  -0.08    0.14   -0.99 -154.30    0.96   -0.24   -0.11 -326.80   -0.25
   -0.96   -0.12  221.70    0.00    0.00    0.00    1.00]","[  -0.08    0.14   -0.99 -154.28    0.96   -0.24   -0.11 -326.79   -0.25
   -0.96   -0.12  221.78    0.00    0.00    0.00    1.00]",[-90.17 -83.58 -18.63  56.25   9.58  60.20],[-90.17 -83.57 -18.67  56.24   9.57  60.23]
Caso 21,6,[-156.00 -342.20  201.00 -100.44   38.15   87.31],[-90.43 -95.80   8.96  24.08   9.22 101.07],"[1, 1, 1]","[   0.04    0.15   -0.99 -156.00    0.79   -0.62   -0.07 -342.20   -0.62
   -0.77   -0.14  201.00    0.00    0.00    0.00    1.00]","[   0.04    0.15   -0.99 -155.95    0.79   -0.62   -0.07 -342.17   -0.62
   -0.77   -0.14  201.00    0.00    0.00    0.00    1.00]",[-90.43 -95.80   8.96  24.08   9.22 101.07],[-90.44 -95.72   8.83  24.09   9.22 101.12]
Caso 22,1,[ -87.30 -310.60  268.60  -97.23    4.70  102.08],[-77.25 -30.93 -64.77   5.18   7.20  95.27],"[1, -1, 1]","[  -0.21    0.14   -0.97  -87.30    0.97   -0.05   -0.22 -310.60   -0.08
   -0.99   -0.13  268.60    0.00    0.00    0.00    1.00]","[  -0.21    0.14   -0.97  -87.31    0.97   -0.05   -0.22 -310.60   -0.08
   -0.99   -0.13  268.65    0.00    0.00    0.00    1.00]",[-77.25 -30.93 -64.77   5.18   7.20  95.27],[-77.25 -30.93 -64.73   5.06   7.21  95.34]
Caso 22,2,[ -61.80 -266.10  250.70 -103.45   27.53  101.85],[-69.08  -8.08 -92.54  -2.19  12.21 131.30],"[1, -1, 1]","[  -0.18    0.32   -0.93  -61.80    0.87   -0.39   -0.30 -266.10   -0.46
   -0.86   -0.21  250.70    0.00    0.00    0.00    1.00]","[  -0.18    0.32   -0.93  -61.81    0.87   -0.39   -0.31 -266.07   -0.46
   -0.86   -0.21  250.81    0.00    0.00    0.00    1.00]",[-69.08  -8.08 -92.54  -2.19  12.21 131.30],[-69.08  -8.11 -92.51  -2.25  12.21 131.35]
Caso 22,3,[  58.60 -275.10  243.20  -67.19   -3.75  152.04],[-46.84 -12.74 -90.17 -26.89 -30.23 129.90],"[1, -1, -1]","[  -0.88   -0.24   -0.41   58.60    0.47   -0.31   -0.83 -275.10    0.07
   -0.92    0.39  243.20    0.00    0.00    0.00    1.00]","[  -0.88   -0.23   -0.41   58.72    0.47   -0.31   -0.83 -275.05    0.07
   -0.92    0.39  243.22    0.00    0.00    0.00    1.00]",[-46.84 -12.74 -90.17 -26.89 -30.23 129.90],[-46.87 -12.76 -90.14 -26.94 -30.25 129.94]
Caso 22,4,[ -99.40 -274.90  253.40  -85.30   21.20  108.14],[-78.13 -26.27 -53.08 -56.86  -6.32 157.67],"[1, -1, -1]","[  -0.29    0.03   -0.96  -99.40    0.89   -0.37   -0.28 -274.90   -0.36
   -0.93    0.08  253.40    0.00    0.00    0.00    1.00]","[  -0.29    0.03   -0.96  -99.40    0.89   -0.37   -0.28 -274.92   -0.36
   -0.93    0.08  253.48    0.00    0.00    0.00    1.00]",[-78.13 -26.27 -53.08 -56.86  -6.32 157.67],[-78.13 -26.17 -53.34 -56.59  -6.33 157.54]
Caso 22,5,[-120.10 -326.90  251.50  -95.66   24.23   91.73],[-83.93 -63.80   2.81 -50.09   5.53 135.52],"[1, 1, 1]","[  -0.03    0.11   -0.99 -120.10    0.91   -0.41   -0.07 -326.90   -0.41
   -0.91   -0.09  251.50    0.00    0.00    0.00    1.00]","[  -0.03    0.11   -0.99 -120.02    0.91   -0.41   -0.07 -326.92   -0.41
   -0.91   -0.09  251.59    0.00    0.00    0.00    1.00]",[-83.93 -63.80   2.81 -50.09   5.53 135.52],[-83.94 -63.90   3.00 -50.19   5.53 135.52]
Caso 22,6,[-119.40 -340.30  226.50  -81.48   40.27  104.76],[-84.11 -74.53  10.54 -53.17  -7.29 157.93],"[1, 1, -1]","[  -0.19    0.02   -0.98 -119.40    0.74   -0.66   -0.16 -340.30   -0.65
   -0.75    0.11  226.50    0.00    0.00    0.00    1.00]","[  -0.19    0.02   -0.98 -119.40    0.74   -0.66   -0.16 -340.27   -0.65
   -0.75    0.11  226.52    0.00    0.00    0.00    1.00]",[-84.11 -74.53  10.54 -53.17  -7.29 157.93],[-84.11 -74.63  10.71 -53.19  -7.30 157.88]
Caso 23,1,[-103.30 -286.20  210.90 -100.08   11.10   95.59],[-79.62 -28.03 -84.02   6.32  10.28 117.24],"[1, -1, 1]","[  -0.10    0.19   -0.98 -103.30    0.98   -0.17   -0.13 -286.20   -0.19
   -0.97   -0.17  210.90    0.00    0.00    0.00    1.00]","[  -0.10    0.19   -0.98 -103.29    0.98   -0.17   -0.13 -286.20   -0.19
   -0.97   -0.17  210.95    0.00    0.00    0.00    1.00]",[-79.62 -28.03 -84.02   6.32  10.28 117.24],[-79.62 -28.04 -83.97   6.21  10.28 117.32]
Caso 23,2,[ -41.80 -279.60  206.90  -93.59   13.43  114.03],[ -65.47  -28.38 -111.09   55.19    3.51   97.73],"[1, -1, 1]","[  -0.40    0.15   -0.91  -41.80    0.89   -0.19   -0.42 -279.60   -0.23
   -0.97   -0.06  206.90    0.00    0.00    0.00    1.00]","[  -0.40    0.15   -0.91  -41.78    0.89   -0.19   -0.42 -279.62   -0.23
   -0.97   -0.06  206.89    0.00    0.00    0.00    1.00]",[ -65.47  -28.38 -111.09   55.19    3.51   97.73],[ -65.47  -28.25 -111.08   54.84    3.51   97.93]
